,P6160,YEAR,Index
0,No,2018,0.541425506109129
1,No,2019,0.5391827082135963
2,No,2020,0.5359448861074464
3,No,2021,0.5380042201273525
4,Yes,2018,0.38531195344864844
5,Yes,2019,0.3864945986581494
6,Yes,2020,0.37933010092572367
7,Yes,2021,0.3840903906802641
