,P4015,YEAR,Index
0,"Cement, gravel",2018,0.46866580499244037
1,"Cement, gravel",2019,0.4643316280822528
2,"Cement, gravel",2020,0.45249651189065665
3,"Cement, gravel",2021,0.45670285163369545
4,"Dirt, sand",2018,0.5318951302959883
5,"Dirt, sand",2019,0.5280780369266382
6,"Dirt, sand",2020,0.5217675232056931
7,"Dirt, sand",2021,0.5229936283986114
8,Marble,2018,0.263761049359562
9,Marble,2019,0.2675808641230909
10,Marble,2020,0.29691547316226086
11,Marble,2021,0.2595516076480952
12,"Polished and lacquered wood, parketry",2018,0.34987282675551945
13,"Polished and lacquered wood, parketry",2019,0.3503969289891168
14,"Polished and lacquered wood, parketry",2020,0.3256766737489268
15,"Polished and lacquered wood, parketry",2021,0.3592374521272222
16,"Rough wood, plank, board, other plants",2018,0.4876806090838918
17,"Rough wood, plank, board, other plants",2019,0.4878525186060294
18,"Rough wood, plank, board, other plants",2020,0.48789568086125057
19,"Rough wood, plank, board, other plants",2021,0.4900786640801442
20,Rug or carpet from wall to wall,2018,0.29875444799864864
21,Rug or carpet from wall to wall,2019,0.3077079001415094
22,Rug or carpet from wall to wall,2020,0.35590199609339995
23,Rug or carpet from wall to wall,2021,0.36239063599692306
24,"Tile, vinyl, tablet, brick, laminate",2018,0.34407515011457124
25,"Tile, vinyl, tablet, brick, laminate",2019,0.34670538175259935
26,"Tile, vinyl, tablet, brick, laminate",2020,0.3425325612015889
27,"Tile, vinyl, tablet, brick, laminate",2021,0.34463684572214015
